neighbourhood_cleansed,id,price,latitude,longitude,people,rooms,review.num,ratings.old,superhost,no.private,living
Hyde Park,2384,50,41.7888649,-87.58670891,1,1,133,100,1,0,0
South Lawndale,4505,120,41.85495262,-87.69696179,7,3,363,96,1,0,1
Lincoln Park,6715,255,41.92926222,-87.66009125,8,4,93,90,0,0,1
Lincoln Park,9811,150,41.91768924,-87.63787944,4,1,30,92,0,0,1
Hyde Park,10610,35,41.79708495,-87.59194894,2,1,31,86,0,0,0
Lincoln Park,10945,215,41.91182685,-87.63999816,4,2,8,93,0,0,1
Near North Side,12068,99,41.9045209,-87.63320022,2,1,8,93,0,0,1
Lincoln Park,12140,289,41.92335308,-87.64950966,2,1,4,100,0,0,0
West Town,22362,99,41.89616805,-87.66041074,4,2,9,93,0,0,1
Lake View,22651,185,41.94910517,-87.65790583,7,3,170,91,0,0,1
Lincoln Park,24833,99,41.92679107,-87.65521134,3,0,37,85,0,0,1
Lake View,25267,105,41.94750674,-87.65928449,7,3,163,90,0,0,1
Lincoln Park,25269,115,41.9142263,-87.63846122,7,2,170,85,0,0,1
Lincoln Park,25879,99,41.92693453,-87.65752711,6,2,43,86,0,0,1
Uptown,37738,74,41.97384553,-87.66538939,2,1,237,100,1,0,0
Near North Side,39742,75,41.8937749,-87.63465211,2,1,448,94,1,0,0
Lincoln Park,44020,80,41.9267303,-87.65730729,6,2,50,80,0,0,1
Lincoln Park,46151,75,41.91330636,-87.63964488,3,1,219,87,0,0,1
Lincoln Park,46154,65,41.91287206,-87.63978767,3,1,209,89,0,0,1
Lake View,53497,95,41.9354095,-87.66711359,7,2,69,83,0,0,1
Lincoln Park,56802,155,41.91264188,-87.63979374,6,2,237,89,0,0,1
West Town,71930,59,41.89686555,-87.67988892,2,1,47,96,1,0,0
Uptown,79101,180,41.96792406,-87.65756861,6,1,145,96,1,0,0
Logan Square,80640,155,41.92462101,-87.70468435,4,2,47,97,0,0,1
West Town,84042,60,41.89693077,-87.68032886,2,1,43,97,1,0,0
Uptown,110705,99,41.96930174,-87.65621311,2,1,128,97,1,0,0
Uptown,126280,48,41.96803815,-87.65122779,1,1,135,98,1,0,0
West Town,133262,65,41.89242541,-87.68078222,2,2,32,98,0,0,1
Lake View,144840,225,41.9407942,-87.65763171,8,3,2,90,0,0,1
North Center,145659,275,41.94363982,-87.68154739,8,3,10,92,0,0,1
Lincoln Park,145690,475,41.91350805,-87.63929446,10,4,35,93,0,0,1
Lake View,165952,198,41.94274277,-87.67321401,4,2,57,91,0,0,1
North Center,166667,125,41.9427444,-87.67377761,3,1,75,90,0,0,1
Lake View,166706,280,41.94221334,-87.6732679,8,3,21,82,0,0,1
West Town,172616,145,41.89752659,-87.67315488,3,2,56,96,0,0,1
Irving Park,175511,67,41.96011818,-87.72157979,4,1,16,96,0,0,1
Portage Park,184764,85,41.94325158,-87.75403381,2,1,158,96,0,0,0
Logan Square,189821,150,41.92972929,-87.70119754,5,2,386,99,1,0,1
West Town,192652,70,41.9013595,-87.679734,2,1,298,95,0,0,0
North Center,198135,44,41.95935102,-87.67963451,2,1,141,99,1,0,0
Pullman,207218,90,41.68830467,-87.60892493,3,1,229,98,1,0,1
West Town,221109,115,41.89272704,-87.65653716,3,1,106,96,0,0,1
Logan Square,225314,75,41.92542935,-87.69592682,1,1,18,99,0,0,0
Lincoln Park,228273,109,41.9312564,-87.65227338,2,1,51,100,1,0,0
Uptown,230836,125,41.96331169,-87.66088494,2,1,4,90,0,0,0
Irving Park,233933,55,41.95602263,-87.72780856,2,1,130,96,0,0,0
Lincoln Park,234442,85,41.91336569,-87.63918044,3,1,197,88,0,0,1
Uptown,236792,185,41.9593949,-87.65440933,4,2,49,99,1,0,1
Edgewater,241514,55,41.99075202,-87.66556963,2,1,141,98,1,0,0
Lincoln Park,242751,75,41.91290649,-87.63838881,4,1,231,89,0,0,1
Uptown,248791,90,41.96797301,-87.65791273,2,2,90,98,1,0,0
Near South Side,250354,170,41.86050783,-87.62398901,2,1,39,97,0,0,1
Loop,257601,25,41.87792373,-87.62513551,2,1,380,96,1,0,0
West Ridge,258253,60,42.00692144,-87.68437535,2,0,16,99,0,0,1
Near North Side,261509,149,41.90314235,-87.63493569,2,1,61,97,0,0,1
North Center,265238,75,41.96084084,-87.68462971,2,1,0,,0,0,1
Logan Square,267646,97,41.92716147,-87.70470573,2,1,126,99,1,0,0
Chatham,272728,40,41.72762917,-87.6130718,2,1,209,94,0,0,0
Near West Side,275496,175,41.88622735,-87.64040211,6,3,10,82,0,0,1
Edgewater,289689,25,41.97793863,-87.6576357,1,1,56,95,0,0,0
Logan Square,289884,125,41.92410783,-87.68525131,4,1,78,96,1,0,0
Bridgeport,290155,131,41.82701785,-87.63966882,6,3,32,95,1,0,1
Woodlawn,298321,48,41.78215833,-87.59026583,3,1,44,96,0,0,0
Edgewater,308331,65,41.98566814,-87.6604964,2,1,31,95,0,0,0
Bridgeport,312192,142,41.82767016,-87.63959057,6,2,26,95,1,0,1
Albany Park,313227,85,41.96331303,-87.70915598,2,1,47,98,0,0,1
Lincoln Park,325842,379,41.92026289,-87.6589159,6,5,25,98,0,0,1
Kenwood,345075,85,41.8077042,-87.59435759,2,1,211,99,1,0,0
Hyde Park,349265,375,41.8008596,-87.58948398,7,4,8,100,0,0,1
Lake View,350347,136,41.9398563,-87.65472987,4,2,394,98,1,0,1
West Town,372929,295,41.89862159,-87.65597415,12,3,173,96,1,0,1
Logan Square,375891,50,41.92498566,-87.70625132,2,1,73,98,0,0,0
Near North Side,385836,85,41.9075735,-87.6358078,5,1,248,90,0,0,1
Lincoln Park,387336,230,41.92911991,-87.65957776,7,3,52,90,0,0,1
Douglas,395257,40,41.82869303,-87.62057772,2,1,9,93,0,0,0
Rogers Park,397472,71,42.01454766,-87.66510666,6,2,306,86,0,0,1
Rogers Park,408267,45,42.01855143,-87.6678223,2,1,49,98,1,0,0
Rogers Park,408268,45,42.01815148,-87.6683673,2,1,60,98,1,0,0
West Town,422214,250,41.89843164,-87.66659355,16,3,111,98,0,0,1
Loop,438850,25,41.87793982,-87.62465301,2,1,245,96,1,0,0
West Town,446474,175,41.90095192,-87.68181154,5,3,4,95,0,0,1
Logan Square,464581,49,41.92450711,-87.6938524,4,1,517,96,1,0,1
Lower West Side,477733,200,41.85329393,-87.66539433,8,4,156,96,0,0,1
Avondale,479086,20,41.93244952,-87.71528138,7,1,149,94,0,1,0
Uptown,484898,225,41.97053392,-87.67266978,6,3,14,95,0,0,1
West Town,488097,60,41.9117341,-87.67310427,2,1,14,96,1,0,0
Rogers Park,496809,85,42.0043515,-87.67500775,2,1,36,99,0,0,0
Lincoln Square,507517,95,41.96713685,-87.69610722,4,1,244,98,1,0,1
Lake View,537419,130,41.94286416,-87.63919089,1,1,28,94,0,0,0
West Town,541535,65,41.89314875,-87.68033274,3,2,22,94,0,0,1
Logan Square,542067,140,41.93065451,-87.70088542,4,2,234,97,1,0,1
Grand Boulevard,548905,75,41.82292602,-87.61558983,3,1,202,97,1,0,1
West Town,555140,115,41.90599986,-87.69500651,5,3,196,94,0,0,1
Lake View,573540,490,41.94284298,-87.63918952,3,2,35,96,0,0,1
Lincoln Square,584590,75,41.9636434,-87.6838246,3,1,42,90,1,0,0
West Town,585353,69,41.88956211,-87.66267336,3,1,105,91,0,0,0
West Town,585356,74,41.8899816,-87.66239843,4,1,104,89,0,0,0
Forest Glen,589871,225,41.9932438,-87.75699454,7,3,6,97,1,0,1
West Town,589939,83,41.89049179,-87.66259975,4,1,55,91,0,1,0
North Center,611839,40,41.93537398,-87.67946487,1,1,106,96,1,0,0
West Town,628149,59,41.89051757,-87.66085293,2,1,61,93,0,0,0
West Town,629745,129,41.89375425,-87.66545245,5,2,201,96,0,0,1
Edgewater,634310,65,41.99666559,-87.6621306,2,1,77,98,1,0,0
Lake View,640841,250,41.94241592,-87.67134394,4,2,14,100,1,0,1
